Аария Лайфсайнсиз Пвт. Лтд., Индия
Балкан Фармасьютикалс СК, ООО, Молдова
"Балканфарма-Дупница АД для ""Профарма Интернешнл Трейдинг Лтд"", Болгария/Мальта"
Балканфарма-Дупница АД, Болгария
Балканфарма-Разград АД, Болгария
Балканфарма-Троян АД, Болгария
Баннер Фармакапс, Индия
"Бафна Фармасьютикалз Лтд для ""М. Биотек Лтд"", Индия/Большая Британия"
Бафна Фармасьютикалс Лтд, Индия
Бейджинг Юнион Фармасьютикал Фектори, Китай
БелАсептика, ЗАО, Республика Беларусь
"Белко Фарма для ""Ротек Лтд"", Индия/Большая Британия"
"Белко Фарма для ""Скан Биотек Лтд."", Индия"
"Белл Санз & Ко. (Драггистс) Лтд. для ""Евро Лайфкер Лтд"", Большая Британия"
Белмедпрепараты, РУП, Республика Беларусь
Белупо, лекарства и косметика д.д., Хорватия
Бене-Арцнаймиттель ГмбХ, Германия
"Бен-Шимон Флорис Лтд для ""Ферринг Фармацевтикалз Лтд"", Израиль"
Береш Фарма, ЗАО, Венгрия
Беринг ГмбХ, ЦСЛ, Германия
"Берингер Ингельхайм Фарма ГмбХ для ""Три Риверз Фармасьютикалз, ООО"", Германия/США"
Берингер Ингельхайм Фарма ГмбХ и Ко. КГ, Германия
"Берингер Ингельхайм Фарма ГмбХ/Хоспира С.п.А. для ""Аббот Лаб."", Германия/Италия/Швейцария"
"Берингер Ингельхайм Эллас А.Е. для ""Алвоген ИПко С.ар.л."", Греция/Люксембург"
Берингер Ингельхайм Эспана, С.А., Испания/Германия
Берлимед С.А./Байер Фарма АГ, Испания/Германия
Берлин-Хеми АГ (Менарини Групп), Германия
Берна Биотек Кореа Корп., Корея
Берна Биотех Лтд, Швейцария
Биви Фарма, Вьетнам
Бикен, Университет Осака, Япония
Билим Илач Сан. Ве Тидж. А.Ш., Турция
"Билим Фармасьютикалз А.С. для ""Дельта Медикел Промоушнз АГ"", Турция/Швейцария"
Билим Фармасьютикалз А.С., Турция
Био Сидус С.А., Аргентина
Биовет, АО, Болгария
"Биовита Лабораториз Пвт. Лтд. для ""Профарма Интернешнл Трейдинг Лтд"", Индия/Мальта"
"Биовита Лабораториз Пвт. Лтд. для ""ПРО-Фарма, УА, ООО"", Индия/Украина"
Биогал АО, Фармацевтический завод (ТЕВАГрупп), Венгрия
Биоген Айдек Мануфактуринг АпС, Дания/Соединенное Королевство
Биоил, ООО, г.Баку, Азербайджан
Биокад, ЗАО, Российская Федерация
Биокодекс, Франция
"Биокон Лтд для ""Дарница, ФФ, ЗАО"", Индия/Украина"
"Биолик, ПАО для ""Украинская фармацевтическая компания, ООО"", г.Киев, Украина"
Биолик, ПАО, г.Ладыжин, Винницкая обл., Украина
Биолитек Фарма Лтд, Великобритания
Биологише Хайльмиттель Хеель ГмбХ, Германия
"Биомед С. А., ИБСВ для ""Ротафарм Лтд"", Польша/Большая Британия"
Биомед, ООО, Завод сывороток и вакцин, Польша
Биомедика Фоскама Инд., Италия
Биомед-Люблин, Витвурня Суровиц и Щепйонек Спулка Акцийна, Польша
Бионик Тео, Ирландия
Бионокс, НПП ООО, г.Москва, Российская Федерация
Бионорика СЕ, Германия
"Биополюс, ООО, для ""Фарма 100"", Грузия/Украина"
Биопром- Одесса, Украина
Биосин Арцнаймиттель ГмбХ, Германия
Биосинтез, ОАО, г.Пенза, РосийскаяФедерация
Биостимулятор, ОПХФП, ООО, г.Одесса, Украина
Биотехнос АО, Румыния
Биотики, МНПК, ООО, Российская Федерация
Биотиком, ООО, Польша
Биотон С.А., Польша
"Биофарм Инжиниринг, АО для ""Софарма АО"", Болгария"
Биофарм Лтд, Польша
"Биофарм, АО для ""Фарма 100, ООО"", Грузия/Украина"
"Биофарма Илач Сан.ве Тидж. А.Ш. для ""Роттафарм Лтд"", Турция/Большая Британия"
"Биофарма Илач Сан.ве Тидж. А.Ш. для ""Уорлд Медицин Лтд"", Турция/Большая Британия"
Био-Фарма Лтд, ПФК, ООО, г.Днепропетровск, Украина
Био-Фарма Лтд, ПФК, ООО/Бионик, ООО, г.Днепропетровск, Украина
"Биофарма, ЧАО, г.Киев для ""Микрохим"", ООО, г.Рубежное, Украина"
Биофарма, ЧАО, г.Киев, Украина
"Биохеми ГмбХ для ""Сандоз ГмбХ"", Австрия"
Биоцид, НПП, Киев, Украина
Бифодан А/С, Дания
Биэффе Медитал С.п.а., Италия
"Біодил Лабораториз Пвт. Лтд для ""Євро Лайфкер Лтд "", Індія/Велика Британія"
"Блис ГВС Фарма Лтд, для ""Мили Хелскере Лтд"", Индия/Великобритания"
"Блисс Биотек Пвт. Лтд. для ""Энесс Хелскер ЛЛП"", Индия/Большая Британия"
Блисс Биотек Пвт. Лтд., Индия
Блуфарма Индастриа Фармасьютика С.А, Португалия
"Блуфарма-Индустрия Фармацевтика, С.А. для ""Гриндекс АО"", Португалия/Латвия"
Боде Хеми ГмбХ, Германия
Болдер Арцнаймиттельверк ГмбХ/Дивафарма ГмбХ, Германия
Борер Хеми АГ, Швейцария
Борисовский ЗМП, ОАО, г.Борисов, Минская обл., Республика Беларусь
Борщаговский ХФЗ, НПЦ, ПАО, г.Киев, Украина
Босналек д.д., Босния и Герцеговина
Бофур Ипсен Индустри, Франция
Браво Хелскеа Лтд., Индия
"Браун Лабораториес Лтд для ""Ротек Лтд"", Индия/Большая Британия"
"Браун Лабораториес Лтд/Белко Фарма для ""Ротек Лтд"", Индия/Большая Британия"
Бринцалов-А, ЗАО, г.Москва, Российская Федерация
"Бристол-Майерс Сквибб Компани С.р.л. для ""АстраЗенека ЮК Лтд"", Италия/Великобритания"
"Бристол-Майерс Сквибб Компани С.р.л. для ""Пфайзер Инк."", Италия/США"
Бристол-Майерс Сквибб Компани С.р.л., Италия
Бристол-Майерс Сквибб Компани, Франция
Брос Лтд, Лаб., Греция
Брускеттини с.р.л., Италия
Брюфармекспорт с.п.р.л., Бельгия
"БСП Фарма/Янссен Фарма для ""Джонсон & Джонсон, ООО"", Италия/Бельгия/Российская Федерация"
Буарон, Франция
"Бхарат Биотек Интернешнл для ""Лок-Бета Фарг."", Индия"
Бхарат Сирамс энд Вакцинс Лтд, Индия
"БЦ Ворлд Фарг. Ко., Лтд. для ""Про-фарма, УА, ООО"", Корея/Украина"
БЭГ Хеалф Кер ГмбХ, Германия
"Вает Фарма С.А. для ""Пфайзер Эйч. Си. Пи. Корпорейшн"", Испания/Германия/США"
"Вает Фармасеутикалс для ""Пфайзер Эйч. Си. Пи. Корпорейшн"", Великобритания/Ирландия/США"
Вайет-Ледерл Фарма ГмбХ, Австрия
"Ваймер Фарма ГмбХ для ""Страген Фарма С.А."", Германия/Швейцария"
Вайшали Фармасьютикалз, Индия
Валартин Фарма, ООО, Киевская обл., Украина
Валеант Фармасьютикалз Свитселенд ГмбХ, Швейцария
"Валента Фармацевтика, ОАО для ""Нижфарм, ОАО"", Российская Федерация"
Валента Фармацевтика, ОАО, г.Щолково, Российская Федерация
"Валео для ""Рифатрейд"", Болгария"
Валмарк а.с., Чешская Республика
"Вапи Кер Фарма Пвт. Лтд. для ""Макпар Экспортс"", Индия"
Васистха Фармасьютикалс, Индия
Ватхем-Фармация, ООО, г.Рязань, Российская Федерация
ВВС Фармасеутикалз энд Кемикалз Пвт. Лтд., Индия
Векста Лабораториез, Индия
"Вектор-Медика, ЗАО для ""Ядран-Галенская Лаб. д.д"", Российская Федерация/Хорватия"
Веледа АГ, Германия
Вемедиа Мануфактуринг Б.В., Нидерланды
"Венус Ремедис Лтд для ""Мили Хелскере Лтд"", Индия/Большая Британия"
"Венус Ремедис Лтд для ""М-Инвест Лтд"", Индия/Кипр"
"Венус Ремедис Лтд/Здоровье, ФФ,ООО для ""Мили Хелскере Лтд"", Индия/Украина"
Верваг Фарма ГмбХ и Ко. КГ, Германия
Верофарм, ОАО, г. Москва, Российская Федерация
ВетПром, АД, Болгария
Виват, ЧП, АР Крым, Украина
"Вивелхов ГмбХ совместно с ""Витамед д.о.о."", Германия/Словения"
"Вивимед Лабс Лтд для ""Ротек Лтд"", Индия/Великобритания"
Вилан, НПП, ООО, г.Киев, Украина
"Вилар, Фармцентр, ЗАО для ""Геолик Фарм Маркетинг Групп"", Россия/Украина"
Вилар, Фармцентр, ЗАО, г.Москва, Российская Федерация
Вимедимек, Вьетнам
"Виндлас Хелскере Пвт. Лтд для ""Мили Хелскере Лтд"", Индия"
"Винклов Био Индастрис БВ для ""Про-Фарма УА, ООО"", Нидерланды/Украина"
Винницкая областная станция переливания крови, ОКУ, Украина
Виола, ФФ, ЧАО, г.Запорожье, Украина
Виофар Лтд , Греция
Випс-Мед, ООО, Российская Федерация
"Виробництво таблеток ""in bulk"" та контроль серій:Б"
Вирхоу Биотеч Пвт Лтд, Индия
Виста Органикс Пвт. Лтд, Индия
Вита, ООО, г.Макеевка, Донецкая обл.,Украина
Витабиотикс Лтд, Великобритания
Витале-XД, ООО, г.Таллинн, Эстония
Витамед Фармасьютикал Индастриез Лтд, Израиль
Витамины, ПАО, г.Умань, Черкасская обл., Украина
Вифитех, ЗАО, Российская Федерация
Вифор (Интернешнл) Инк., Швейцария
Владимир-Волынская станция переливания крови, Украина
Вокхардт Лтд., Индия
Волынская областная станция переливания крови, Украина
"Вуханский Институт Биологических Продуктов Ко., Лтд для ""Максимум Альфа ООО"", Китай/Украина"
Г.Л. Фарма, ГмбХ, Австрия
Галеника а.д., Сербия и Черногория
"Галичфарм, АО для ""Санофи-Авентис Украина"", г.Львов, Украина"
Галичфарм, ПАО, г.Львов, Украина
Галф Фармасьютикел Индастрис (Джулфар), Объединенные Арабские Эмираты
Гамбро Даско С.п.А. Италия
Гарден Стейт Нутритионалс, США
"Гаупт Фарма Вольфратсхаузен ГмбХ для ""Эгис, ФЗ, ОАО"", Германия/Венгрия"
"Гаупт Фарма Вулфинг ГмбХ для ""Тилотс Фарма АГ"", Германия/Швейцария"
"Гаупт Фарма Вюльфинг ГмбХ для ""Амеда Арцнаймиттель ГмбХ"", Германия"
Гебер Биотек, Куба
Гедеон Рихтер - РУС, ЗАО, Российская Федерация
Гедеон Рихтер, АО, Румыния/Венгрия
Гедеон Рихтер, ОАО, Венгрия
Гедеон Рихтер, ОАО/ Алмирал АГ, Венгрия/Швейцария
Гедеон Рихтер, ООО, Польша/Венгрия
Гексал АГ, Германия, предприятие компании Сандоз
"Гематологический НЦ, МОЗСР, ФГБУ для ""Институт Стволовых Клеток Человека, ОАО"", Российская Федерация"
ГЕМИ, ПФП, Польша
Генезис, ООО, г.Светловодск, Кировоградская обл., Украина
"Генефарм СА для ""Алвоген ИПКо С.ар.л."", Греция/Люксембург"
"Генрих Мак Начф. ГмбХ & Ко. КГ для ""МакНил Продактс Лтд"", Германия/Соединенное Королевство"
Гербамед АГ, Швейцария
Гербаполь АО, Познанский Завод Лекарственных Трав, Польша
Гербаполь Варшава, ООО, Польша
Гербаполь, АО, Вроцлавское Предприятие Лекарственных Трав, Польша
Гербаполь, АО, Краковский Завод Лекарственных Трав, Польша
"Гермес Арцнаймиттель ГмбХ для ""Альпен Фарма АГ"", Германия/Швейцария"
"Гермес Арцнаймиттель ГмбХ для ""Мефа Лтд."", Германия/Швейцария"
Герот Фармацеутика ГмбХ, Австрия
Герофарм, ООО, г.Санкт-Петербург, Российская Федерация
Гетеро Драгс Лтд, Индия
Гетц Фарма Пвт. Лтд., Пакистан
Гилеад Сайенсиз Инк., США
Гималая Кемикал Лаб. Фарма, Индия
"Гимансу Оверсиз для ""Ананта Медикеар Лтд"", Индия/Большая Британия"
"Гинсана, С.А. для ""Берингер Ингельхайм Интерн. ГмбХ "", Швейцария/Германия"
Глаксо Оперейшнс ЮК Лтд, Великобритания
ГлаксоВеллком Продакшн, Франция
ГлаксоВеллком С.А., Испания
ГлаксоСмитКляйн Мануфактуринг С.п.А., Италия
ГлаксоСмитКляйн Биолоджикалс, Бельгия
ГлаксоСмитКляйн Дангарван Лтд., Ирландия /Великобритания
"ГлаксоСмитКляйн Инк. для ""ВииВ Хелскер ЮК Лтд"" Канада/Великобритания"
ГлаксоСмитКляйн Консьюмер Хелскер ГмбХ и Ко.КГ, Германия
"ГлаксоСмитКляйн на заводах: ""Кардинал Хелс"", Франция"
ГлаксоСмитКляйн С.А.Э., Египет/Великобритания
ГлаксоСмитКляйн Фармасьютикалз С.А., Польша
ГлаксоСмитКляйн, Австралия/Великобритания
ГлаксоСмитКляйн, Южная Африканская Республика
Гленмарк Дженерикс Лтд./Гленмарк Фармасьютикалз Лтд., Индия
Гленмарк Фармасьютикалз Лтд., Индия
"Глобал Фарм СП, ООО для "" Валартин Фарма, ООО"", Казахстан/Украина"
"Глобофарм Фармацойтише Прод. для ""Сандоз Фармасьютикалз д.д."" Австрия/Словения"
ГНИИ особо чистых биопрепаратов, ФГУП, Российская Федерация
Гоемар Лаб. Де Ла Мер, Франция
Гомеопатическая аптека, ООО, г.Харьков, Украина
Горловская городская станция переливания крови, Украина
"Государственный завод медицинских препаратов, ФГУП для ""Экофарминвест, ООО"", Российская Федерация"
Государственный Институт Вакцин, Дания
"ГП Грензах Продуктионс ГмбХ для ""Байер Консьюмер Кер АГ"" Германия/Швейцария"
Грин Крос Корпорейшн , Корея
Гриндекс, АО, Латвия
Гродненский ЗМП, РУП, Руспублика Беларусь
Груп Фармасьютикалз Лтд, Индия
Грюненталь ГмбХ, Германия
Гуна С.п.а., Италия
Даевон Фармасьютикал Ко. Лтд., Корея
Дайменд Фарма, Сирийская Арабская Республика
Дальхимфарм, ОАО, г.Хабаровск, Российская Федерация
Данафа Фармасьютикал Джоинт Сток Компани, Вьетнам
Дарница, ФФ, ЗАО, г.Киев, Украина
Дарница, ФФ, ЧАО, г.Киев, Украина
Дары природы, ООО, г.Горловка, Донецкая обл., Украина
"Даэ Хан Нью Фарм. Ко. Лтд для ""Валартин Фарма, ООО"", Корея/Украина"
Дексель Лтд./Дексель Фарма Технолоджиз Лтд, Израиль
Дексель Лтд./Дексон Лтд., Израиль
"Делфарм Хюнинг С.А.С. для ""Новартис Фарма АГ"", Франция/Швейцария"
"Дельфарм Лилль С.А.С. для ""Байер Фарма АГ"", Франция/Германия"
"Дельфарм Реймс для ""Берингер Ингельхайм Ин."", Франция/Германия"
"Дельфарм Юнинг С.А.С. для ""Рекордати Аиленд Лтд"", Франция/Ирландия"
Дентинокс Гесельшафт Фарм., Германия
Деситин Арцнеймиттель ГмбХ, Германия
Джабер Ибн Хайан, ФК, Иран
Джака 80, Македония
Джанкойско-Сивашский ДЕЗ, АР Крым, Украина
Джафферджи Бразерс, Шри-Ланка
Джей. Дункан Хелс Пвт. Лтд, Индия
Джейсон Фармасьютикалс Лтд, Бангладеш
"ДжейЭйчПи Фармасьютикалз, ЛЛС для ""Аллерган Инк."", США"
"Дженерал Хоспител Продактс Паблик Ко., Лтд для ""Еврофарм(ЮК)"", Тайланд/Большая Британия"
Дженефарм С.A.,ФК, Греция
Джензайм Ирланд Лтд., Ирландия/Великобритания
Джензайм Юроп Б.В., Нидерланды
"Дженова Биофармасьютикалс Лтд для ""Уэлш Трейд Лтд"", Индия/Гонконг"
Дженом Биотек Пвт. Лтд., Индия
"ДженСайнс Фармасьютикалз Ко. Лтд для ""Еврофарм (ЮК) Ко Лтд"", Китай/Великобритания"
Джепак Интернационал, Индия
Джи Эм Фармасьютикалс, Грузия
Джи. Поль-Боскамп ГбмХ, Германия
ДжиИ Хелскеа АС, Ирландия/Норвегия
Джонсон & Джонсон, ООО, Российская Федерация
Джубилант Лайф Сайнсез Лтд, Индия
"Джубилант ХоллистерСтер ЛЛС для ""Био""Марин Юроуп Лтд"", Большая Британия"
"Джубилент ХоллистерСтиер Дженерал Парт., для ""ГлаксоСмитКляйн Экспорт Лтд"", Канада/Большая Британия"
Диафарм, Институт молекулярной диагностики, ЗАО, Российская Федерация
Дивафарма ГмбХ, Германия
Дикрасин-Димитр Кристев, ЭТ, Болгария
Днепродзержинская станция переливания крови, ОКУ, Украина
Днепропетровская областная станция переливания крови, КУ, Украина
Днепропетровская ФФ, ОКП, г.Днепропетровск, Украина
Днепрофарм, ОАО, г.Днепропетровск, Украина
Докфарм, ООО, г.Симферополь, АР Крым,Украина
Долоргит ГмбХ и Ко. КГ, Германия
ДОН ФОН Лтд, Пекинская комп. по выпуску спец. медиц. продуктов и витаминов, Китай
Донг Кук Фармасьютикал Ко. Лтд., Корея
Донг-А Фармасьютикал Ко., Лтд, Корея
Донецкая областная станция переливания крови, КЗОЗ, Украина
Донецкая ФФ, ООО, г.Донецьк, Украина
Донспецпродукт, НПК ООО, г.Артемовск, Донецкая обл., Украина
"Доппель Фармасьбтикалс C.Р.Л. для ""Санофи-Авентис С.п.А"", Италия"
"Доппель Фармацеутици C.р.Л. для ""Поликем С.р.л."", Италия"
"Др. Вильмар Швабе ГмбХ и Ко. КГ для ""ДХУ-Арцнаймиттель ГмбХ & Ко. КГ"", Германия"
Др. Вильмар Швабе ГмбХ и Ко. КГ, Германия
Др. Герхард Манн, Хем.-фарм. Фабрик ГмбХ, Германия
"Др. Густав Кляйн ГмбХ & Ко. КГ для ""Профарма Интернешнл Трейдинг Лтд"", Германия/Мальта"
Др. Густав Кляйн ГмбХ & Ко. КГ, Германия
Др. Каде Фармацевтическая Фабрика ГмбХ, Германия
Др. Мюллер Фарма, Чешская Республика
Др. Р. Пфлегер Химическая Фабрика ГмбХ, Германия
Др. Редди'с Лабораторис Лтд, Индия
Др. Тайсс Натурварен ГмбХ, Германия
Др. Фальк Фарма ГмбХ., Германия
Др. Франц Келер Хеми ГмбХ, Германия
"Дрогсан Илачлари Сан. ве Тидж. А.Ш. для ""Асфарма-Украина, ООО"", Турция/Украина"
ДСМ Фармасьютикалз Инк., США
ДХУ(Дойче Хомеопати-Унион )-Арцнаймиттель ГмбХ & Ко., Германия
Житомирская ФФ, ГКП, ООО, г.Житомир, Украина
Житомирский областной центр крови, Новоград-Волынский филиал, Украина
Жухай Юнайтед Лаб. (Жонгшан) Ко., Лтд, Китай
Закарпатская областная станция переливания крови, Украина
Замбон С.п.А., Италия
Замбон Свитцерланд Лтд, Швейцария/Италия
Запорожская областная станция переливания крови, КУ, ЗОР, Украина
Запорожский автогенный завод (ЗАЗ), ОАО, Украина
Запорожсталь, ОАО, Украина
Здоровье народу, ХФП, ООО, г.Харьков, Украина
Здоровье народу, ХФП, ООО/Здоровье, ФК, ООО, г.Харьков, Украина
Здоровье, ФК, ООО, г.Харьков, Украина
